feature,count,mean,std,min,25%,50%,75%,max
tBodyAcc-mean()-X,10299.0,0.27434726064606274,0.06762779627849427,-1.0,0.262624795,0.27717388,0.28835422499999996,1.0
tBodyAcc-mean()-Y,10299.0,-0.017743491845897182,0.03712816638274347,-1.0,-0.024902478999999998,-0.017161624,-0.01062456,1.0
tBodyAcc-mean()-Z,10299.0,-0.1089250327370638,0.053033085993559714,-1.0,-0.12101888,-0.10859642,-0.09758934650000001,1.0
tBodyAcc-std()-X,10299.0,-0.607783818968688,0.4386938313391944,-1.0,-0.99236049,-0.94303003,-0.25029286,1.0
tBodyAcc-std()-Y,10299.0,-0.510191378479501,0.5002397668830524,-1.0,-0.97699023,-0.83503193,-0.0573355655,1.0
tBodyAcc-std()-Z,10299.0,-0.6130642993412496,0.4036565846518579,-1.0,-0.97913693,-0.85077295,-0.27873736000000005,1.0
tBodyAcc-mad()-X,10299.0,-0.6335926109074289,0.4133330183383021,-1.0,-0.99329322,-0.94824379,-0.302032505,1.0
tBodyAcc-mad()-Y,10299.0,-0.5256965390018843,0.4842006477356233,-1.0,-0.977016595,-0.84367027,-0.0874045255,1.0
tBodyAcc-mad()-Z,10299.0,-0.6149889097836501,0.39903405824550947,-1.0,-0.97906379,-0.84506834,-0.28814902499999995,1.0
tBodyAcc-max()-X,10299.0,-0.46673237052326916,0.5387067879371366,-1.0,-0.93578844,-0.87482457,-0.014640628499999999,1.0
tBodyAcc-max()-Y,10299.0,-0.30518046254641135,0.27992027564510613,-1.0,-0.5625699,-0.46820609,-0.067344644,1.0
tBodyAcc-max()-Z,10299.0,-0.5622296198504069,0.28299052834568417,-1.0,-0.81219431,-0.72450292,-0.34559148,1.0
tBodyAcc-min()-X,10299.0,0.5253041725110953,0.35658895383491,-1.0,0.212529515,0.78423289,0.843792915,1.0
tBodyAcc-min()-Y,10299.0,0.38953658732151314,0.3388440701018533,-1.0,0.11390043999999999,0.61977448,0.6851936000000001,1.0
tBodyAcc-min()-Z,10299.0,0.5980219233539489,0.2906146545279677,-1.0,0.3927173,0.77222647,0.83674154,1.0
tBodyAcc-sma(),10299.0,-0.5520871156488927,0.46137461048933276,-1.0,-0.981706265,-0.87694688,-0.12282944500000001,1.0
tBodyAcc-energy()-X,10299.0,-0.8254596703962522,0.24705181837254625,-1.0,-0.999929455,-0.99773565,-0.7157447400000001,1.0
tBodyAcc-energy()-Y,10299.0,-0.9027042823278376,0.12598784956800332,-1.0,-0.9997714950000001,-0.99290887,-0.825149225,1.0
tBodyAcc-energy()-Z,10299.0,-0.8546617592229732,0.2059975022744849,-1.0,-0.999413695,-0.98424007,-0.7594725099999999,1.0
tBodyAcc-iqr()-X,10299.0,-0.689161821371472,0.3592089552756794,-1.0,-0.994185095,-0.95599855,-0.40790183,1.0
tBodyAcc-iqr()-Y,10299.0,-0.6435117686235828,0.3688646268678817,-1.0,-0.9813266350000001,-0.88494677,-0.32465304500000003,1.0
tBodyAcc-iqr()-Z,10299.0,-0.6406858154829277,0.372065441972237,-1.0,-0.978487785,-0.85377568,-0.33639251000000003,1.0
tBodyAcc-entropy()-X,10299.0,-0.10033184880813381,0.4623154920157962,-1.0,-0.56383402,-0.057117006,0.32958674,1.0
tBodyAcc-entropy()-Y,10299.0,-0.12876512293770076,0.4336872571530518,-1.0,-0.54961143,-0.10174142,0.283141325,1.0
tBodyAcc-entropy()-Z,10299.0,-0.15786339414163592,0.3681016978460643,-1.0,-0.49682496,-0.13637995,0.16735192999999998,1.0
