eps,min_samples,clusters,noise,noise_pct,largest_cluster_pct,smallest_cluster,Silhouette,Davies-Bouldin,Calinski-Harabasz,ARI,NMI,ARI_core,NMI_core
9,5,35,9422,91.48461015632586,66.81870011402509,2,-0.0008922219093686586,1.7464697431387572,23.814671390073073,0.0003661253602985424,0.09845776843665241,0.3470816975001198,0.5017623493813267
10,5,25,7545,73.25953976114185,89.83297022512708,4,-0.034547482815877203,1.608107819345061,38.66149001862334,0.047225089131066926,0.18181274433702976,0.08784713115002163,0.271019593405778
11,5,43,5893,57.219147490047575,86.88152519291874,3,0.018621942187985328,1.7728042297658295,59.758624254391286,0.13391343557902674,0.2871810142759168,0.16106663444999367,0.4049178010265916
12,5,34,4623,44.887853189630064,80.62015503875969,2,0.08909172054403729,2.028641392100268,128.24544138135977,0.20529826329035097,0.3742732446703243,0.2315237432985295,0.5002295036235113
13,5,25,3591,34.86746286047189,73.53905784138342,5,0.3064555693224443,1.766471213778666,236.2393057378719,0.25370531313174477,0.4010048785416352,0.2765869273283791,0.5018122780762759
14,5,22,2687,26.08991164190698,68.14240672622175,2,0.15961244846562989,1.5545219996968676,320.9530727583411,0.298677192000901,0.44274733605944117,0.3091669659510338,0.5272886202286631
15,5,19,2029,19.700941839013495,97.65417170495768,5,0.14334044775980473,1.3407619071194241,30.644478711452518,0.0661969337708694,0.14764536401620393,0.005554004375485519,0.049951890810297155
16,5,13,1461,14.1858432857559,98.23489477257299,4,0.18266149561109057,1.3660580159067934,37.32321707014983,0.043384694976254905,0.12087595753330949,0.0031210438018205184,0.037107575775603856
17,5,5,1034,10.03980969026119,99.42795466810577,4,0.10090008225758378,1.087574403982277,41.24631370798682,0.02476358139915343,0.08301978574593774,0.0004689971400233971,0.011650788405663649
18,5,3,746,7.243421691426352,99.46613629226421,11,0.284533491520713,0.9425067996522664,78.9176717777486,0.016211585330376154,0.06736579557567605,0.0009367101000419286,0.011754441834183935
20,5,1,434,4.214001359355278,100.0,9865,,,,0.006786902844894721,0.03532238122532274,0.0,0.0
9,10,10,9884,95.97048257112341,77.34939759036145,8,0.05682735447645839,1.6893959996367898,23.93367810939586,-0.0007298527307516788,0.048545899321407814,0.3032561612574887,0.4804653478914511
10,10,7,8040,78.06583163413924,95.70606463036742,10,0.12177837399478206,1.3163362866731558,56.54238105060853,0.03353453890057609,0.1473908551361961,0.05000716539336437,0.1810380403741034
11,10,13,6441,62.540052432274976,93.10523587350959,10,0.09793745533168927,1.6101762996496187,99.65104613163199,0.11622884654157897,0.2562716086958774,0.09514479775627764,0.2811579364127403
12,10,16,5174,50.23788717351199,86.92682926829268,10,0.0840239837693661,2.154519687239696,174.52162934465815,0.1928379700331201,0.35267370600472603,0.18115558737938647,0.4522188444410361
13,10,11,4039,39.217399747548306,77.79552715654953,10,0.068980414958175,1.8730151688460177,434.0355647710046,0.24330085156986828,0.3927185065937409,0.2561046468356499,0.4948720970650195
14,10,9,3119,30.284493640159237,71.61559888579387,9,0.3214859114992167,1.6679341615803254,706.7805784179988,0.2875919044852994,0.4342116461760136,0.2959321561652762,0.5224635661019309
15,10,5,2398,23.283813962520632,99.15200607518035,14,0.2218160797125663,1.1543307635424958,50.649040527090854,0.08004247706647426,0.15378370618606943,0.001987011828740824,0.01851375231323365
16,10,8,1771,17.195844256723955,98.6749530956848,10,0.17619360361175118,1.2504600926778249,48.1606302816416,0.05557344996595854,0.13228131991527284,0.0026166535122171936,0.02848119977355002
17,10,2,1219,11.836100592290514,99.65859030837004,31,0.3409875514662079,0.8708127136282946,103.8564846104637,0.03101094784511268,0.09014574095434631,0.0004998406967603894,0.007306320653085167
18,10,3,859,8.340615593746966,99.45974576271186,12,0.3057641872384432,0.8898233741383592,83.70016140095426,0.019323695687850934,0.07352545663019192,0.0005344438728560509,0.011158460232011214
20,10,1,490,4.757743470239829,100.0,9809,,,,0.00804211205153636,0.03901627131396264,0.0,0.0
9,20,2,10127,98.32993494514031,76.74418604651163,40,0.06429881563893153,3.2525272959787204,11.077497431410215,-0.0004412759077033903,0.020828855155898916,0.16210002368260326,0.20735404097203824
10,20,4,8544,82.9595106321002,88.83190883190883,19,0.14325163221854578,1.8612282217160834,80.83751203435428,0.025911198988964004,0.15261714496442744,0.20142702289014333,0.3293223565071482
11,20,4,6905,67.04534420817555,97.1714790807307,18,0.11356349668561835,1.3710337216173198,96.12378765646703,0.0986939365704737,0.22783750009208936,0.03599357600493664,0.150123924328847
12,20,9,5663,54.98592096320031,92.62295081967213,20,0.37432913331034506,1.7002582650908922,189.42000715438246,0.1772628908893395,0.3226833736990249,0.11460676724300865,0.32827602583942717
13,20,4,4546,44.1402077871638,83.60855205979489,9,0.35171814996411493,1.77944424100068,1020.7971219969177,0.23120825102000722,0.378012942324497,0.21592184685833932,0.4566946979790455
14,20,4,3504,34.022720652490534,75.1140544518028,23,0.34817613046501794,1.4581766417775377,1577.6478382975376,0.2754838987740518,0.4228876303848227,0.2804832938251299,0.5147937602682299
15,20,1,2715,26.361782697349255,100.0,7584,,,,0.09287752983011317,0.16410212213629932,0.0,0.0
16,20,1,2101,20.400038838722207,100.0,8198,,,,0.06678138223110254,0.13575521198949406,0.0,0.0
17,20,3,1508,14.642198271676861,99.34023433056535,28,0.2799733739364345,0.9246255153388919,93.71962249565792,0.04283613931869855,0.1127518985531386,0.0009219359662934794,0.013811154847529547
18,20,2,1020,9.903874162540053,99.63358120487122,34,0.34171673767608196,0.8766009601477349,113.81544534694858,0.02404649601198911,0.08053415684168744,0.00045751456229521187,0.007737868399110416
20,20,1,568,5.515098553257598,100.0,9731,,,,0.009569916647051046,0.043227892649023936,0.0,0.0
9,50,0,10299,100.0,,0,,,,0.0,0.0,0.0,0.0
10,50,1,9177,89.10573842120594,100.0,1122,,,,0.016011795617482328,0.11688623712068981,0.0,0.0
11,50,1,7395,71.80308767841538,100.0,2904,,,,0.07896185285831668,0.19898803879996305,0.0,0.0
12,50,1,6274,60.91853578017283,100.0,4025,,,,0.15898435993077745,0.28689686850740204,0.0,0.0
13,50,3,5479,53.1993397417225,97.24066390041494,45,0.36449532755961556,1.759671079480493,225.95713185787648,0.22152230571684953,0.36373764762325456,0.05059346248284483,0.1885755606647859
14,50,2,4126,40.06214195552966,81.45148226146121,1145,0.4077148929472201,1.0572465258820773,3343.3704897449957,0.25740412234791693,0.40510481279922333,0.23765268135529188,0.47719799942088054
15,50,1,3164,30.721429264977182,100.0,7135,,,,0.11197153292092726,0.18321914238178716,0.0,0.0
16,50,1,2468,23.96349160112632,100.0,7831,,,,0.08305064018967828,0.15623328855884624,0.0,0.0
17,50,1,1881,18.26390911739004,100.0,8418,,,,0.057431314227568024,0.12750329074453337,0.0,0.0
18,50,1,1363,13.234294591707933,100.0,8936,,,,0.033134114355040184,0.09041317777851131,0.0,0.0
20,50,1,700,6.796776386056899,100.0,9599,,,,0.011812940502479604,0.04680813282661144,0.0,0.0
