linkage,K,clusters,smallest_cluster,largest_cluster,largest_cluster_pct,Silhouette,Davies-Bouldin,Calinski-Harabasz,ARI,NMI,cophenetic_corr
single,2,2,2,10297,99.98058063889698,0.7923627913233814,0.275009976938263,80.38027211083585,3.017274877520425e-05,0.0004328387901998363,0.8138538444182594
single,3,3,1,10296,99.97087095834547,0.6999336249776544,0.2545490765087574,50.13319686267774,4.530386363149675e-05,0.0006489973982748822,0.8138538444182594
single,4,4,1,10295,99.96116127779396,0.6998463300343747,0.2554505263896757,40.46773812900412,6.047740242928929e-05,0.0008649826113713562,0.8138538444182594
single,5,5,1,10294,99.95145159724245,0.6413405870469433,0.25569436389355166,33.81222404236282,7.569338419530618e-05,0.0010807947758967073,0.8138538444182594
single,6,6,1,10293,99.94174191669094,0.5601154584441919,0.27333740052820704,28.855435858673818,9.095182796422855e-05,0.0012964342375638913,0.8138538444182594
single,7,7,1,10293,99.94174191669094,0.5600192253189336,0.2301534396129314,24.258327136696213,9.091407945798214e-05,0.0012963368274587941,0.8138538444182594
single,8,8,1,10292,99.93203223613943,0.5601202159122194,0.23107473921823118,23.10075879349541,0.00010621499865621,0.001511787804753207,0.8138538444182594
complete,2,2,16,10283,99.84464511117584,0.66395359633961,0.7603097175822676,210.0761721418143,0.00023463940216640432,0.0030241109956863576,0.7522866768072739
complete,3,3,2,10283,99.84464511117584,0.6307339491608808,0.6960322057077114,117.72579484191114,0.00023367182255238625,0.003038055943993334,0.7522866768072739
complete,4,4,2,5626,54.62666278279445,0.39267503040513596,0.8972579614868068,2807.2878303539187,0.33228133795302794,0.5548909730898499,0.7522866768072739
complete,5,5,2,5626,54.62666278279445,0.37921618199485435,1.32290947038177,2367.5470996279373,0.3293738155645445,0.5420863083132731,0.7522866768072739
complete,6,6,2,5626,54.62666278279445,0.37916215274424986,1.3004328736271904,1898.4099839281203,0.32937340488102307,0.5421361484096985,0.7522866768072739
complete,7,7,2,5598,54.35479172735217,0.3804284171118857,1.3116115512833901,1621.2636333381529,0.3285919411612641,0.5407907802828069,0.7522866768072739
complete,8,8,2,5598,54.35479172735217,0.37843369544985384,1.5520938189103513,1408.7293212049758,0.32847574371555366,0.5400071753683884,0.7522866768072739
average,2,2,3,10296,99.97087095834547,0.7687270815107101,0.5197106724868688,89.84246498238448,4.5379326949526745e-05,0.0006490646915602091,0.8556935261977282
average,3,3,1,10296,99.97087095834547,0.6999336249776544,0.2545490765087574,50.13319686267774,4.530386363149675e-05,0.0006489973982748822,0.8556935261977282
average,4,4,1,10294,99.95145159724245,0.5126910106122239,0.4944451039254475,37.232966742927154,2.660815170864725e-05,0.0010100772238949025,0.8556935261977282
average,5,5,1,10141,98.46587047286144,0.4569541508907409,0.8170298233797494,191.5976951283714,0.002463402163293137,0.02166774287654381,0.8556935261977282
average,6,6,1,10141,98.46587047286144,0.44309293143089196,1.1019529991833201,161.10369996732948,0.0024078862538124456,0.022041210057924164,0.8556935261977282
average,7,7,1,10141,98.46587047286144,0.4409120128002114,1.1059763942896674,135.48009356606843,0.0024006383071070157,0.022090433668805535,0.8556935261977282
average,8,8,1,10141,98.46587047286144,0.4406608703156987,1.1387449117042852,117.02281401172021,0.002399634433404326,0.022083691408358842,0.8556935261977282
ward,2,2,4672,5627,54.63637246334596,0.3933741299976165,1.0716937645892068,7859.755364486751,0.33253220715485143,0.5567893374606173,0.6767338302954943
ward,3,3,1464,5627,54.63637246334596,0.31180474511131967,1.9152914103968584,4829.011702537323,0.33657728167438433,0.5307877005167397,0.6767338302954943
ward,4,4,1464,3793,36.82881833187688,0.13482795720744037,2.58084746448863,3461.127931906513,0.5107660292820785,0.6530366228826484,0.6767338302954943
ward,5,5,151,3793,36.82881833187688,0.12872345313434688,2.5660208222145418,2764.915643684068,0.5070757009800432,0.6451878039567245,0.6767338302954943
ward,6,6,151,3208,31.148655209243614,0.1170292796580654,2.4820388305595458,2349.667698337932,0.459874890109388,0.6014981965896592,0.6767338302954943
ward,7,7,151,2587,25.118943586755996,0.06794600980174037,2.785577215283749,2060.631114248344,0.5021256877239052,0.610944017359248,0.6767338302954943
ward,8,8,151,2587,25.118943586755996,0.07231051404753092,2.76920153325741,1838.7153696588591,0.5020462239816655,0.602396814541618,0.6767338302954943
