Model,Cluster,Size,Percent
K-Means (k=2),C0,5620,54.568404699485384
K-Means (k=2),C1,4679,45.431595300514616
K-Means (k=6),C0,2638,25.614137294882998
K-Means (k=6),C1,307,2.9808719293135257
K-Means (k=6),C2,1920,18.64258665889892
K-Means (k=6),C3,2449,23.779007670647637
K-Means (k=6),C4,1338,12.991552577920187
K-Means (k=6),C5,1647,15.991843868336732
"DBSCAN (eps=14, min_samples=50)",Noise,4126,40.06214195552966
"DBSCAN (eps=14, min_samples=50)",C0,5028,48.82027381299155
"DBSCAN (eps=14, min_samples=50)",C1,1145,11.117584231478784
HAC-Ward (K=2),C0,5627,54.63637246334596
HAC-Ward (K=2),C1,4672,45.36362753665404
HAC-Ward (K=6),C0,1834,17.807554131469075
HAC-Ward (K=6),C1,2587,25.118943586755996
HAC-Ward (K=6),C2,1206,11.709874745120885
HAC-Ward (K=6),C3,3208,31.148655209243614
HAC-Ward (K=6),C4,151,1.4661617632779882
HAC-Ward (K=6),C5,1313,12.74881056413244
